year,product_type,trade_type,metric,value
2010,Tobacco Raw,Import,Quantity ('000 T),45.9
2010,Tobacco Raw,Import,Value (RM Million),762.88
2010,Tobacco Raw,Export,Quantity ('000 T),2.9264635
2010,Tobacco Raw,Export,Value (RM Million),60.380003
2010,Tobacco Products,Import,Quantity ('000 T),12.36
2010,Tobacco Products,Import,Value (RM Million),430.74
2010,Tobacco Products,Export,Quantity ('000 T),36.17224421
2010,Tobacco Products,Export,Value (RM Million),974.570059
2010,Total,Import,Quantity ('000 T),58.26
2010,Total,Import,Value (RM Million),1193.62
2010,Total,Export,Quantity ('000 T),39.09870771
2010,Total,Export,Value (RM Million),1034.950062
2011,Tobacco Raw,Import,Quantity ('000 T),55.4
2011,Tobacco Raw,Import,Value (RM Million),892.26
2011,Tobacco Raw,Export,Quantity ('000 T),2.86353
2011,Tobacco Raw,Export,Value (RM Million),65.009496
2011,Tobacco Products,Import,Quantity ('000 T),12.18
2011,Tobacco Products,Import,Value (RM Million),456.96
2011,Tobacco Products,Export,Quantity ('000 T),37.067762009999996
2011,Tobacco Products,Export,Value (RM Million),993.639129
2011,Total,Import,Quantity ('000 T),67.58
2011,Total,Import,Value (RM Million),1349.22
2011,Total,Export,Quantity ('000 T),39.93129201
2011,Total,Export,Value (RM Million),1058.648625
2012,Tobacco Raw,Import,Quantity ('000 T),63.55
2012,Tobacco Raw,Import,Value (RM Million),1092.66
2012,Tobacco Raw,Export,Quantity ('000 T),10.62400399
2012,Tobacco Raw,Export,Value (RM Million),220.373724
2012,Tobacco Products,Import,Quantity ('000 T),16.53
2012,Tobacco Products,Import,Value (RM Million),630.19
2012,Tobacco Products,Export,Quantity ('000 T),48.202840439999996
2012,Tobacco Products,Export,Value (RM Million),1353.974675
2012,Total,Import,Quantity ('000 T),80.08
2012,Total,Import,Value (RM Million),1722.8500000000001
2012,Total,Export,Quantity ('000 T),58.82684443
2012,Total,Export,Value (RM Million),1574.348399
2013,Tobacco Raw,Import,Quantity ('000 T),52.86
2013,Tobacco Raw,Import,Value (RM Million),861.45
2013,Tobacco Raw,Export,Quantity ('000 T),0.80014738
2013,Tobacco Raw,Export,Value (RM Million),18.450832
2013,Tobacco Products,Import,Quantity ('000 T),15.37
2013,Tobacco Products,Import,Value (RM Million),811.91
2013,Tobacco Products,Export,Quantity ('000 T),43.1086075
2013,Tobacco Products,Export,Value (RM Million),1192.383334
2013,Total,Import,Quantity ('000 T),68.23
2013,Total,Import,Value (RM Million),1673.3600000000001
2013,Total,Export,Quantity ('000 T),43.908754880000004
2013,Total,Export,Value (RM Million),1210.834166
2014,Tobacco Raw,Import,Quantity ('000 T),52.91
2014,Tobacco Raw,Import,Value (RM Million),871.84
2014,Tobacco Raw,Export,Quantity ('000 T),0.575248
2014,Tobacco Raw,Export,Value (RM Million),11.546657
2014,Tobacco Products,Import,Quantity ('000 T),17.42
2014,Tobacco Products,Import,Value (RM Million),889.43
2014,Tobacco Products,Export,Quantity ('000 T),40.24645459
2014,Tobacco Products,Export,Value (RM Million),1269.16289
2014,Total,Import,Quantity ('000 T),70.33
2014,Total,Import,Value (RM Million),1761.27
2014,Total,Export,Quantity ('000 T),40.82170259
2014,Total,Export,Value (RM Million),1280.7095470000002
2015,Tobacco Raw,Import,Quantity ('000 T),54.3327725
2015,Tobacco Raw,Import,Value (RM Million),998.933072
2015,Tobacco Raw,Export,Quantity ('000 T),7.2652859
2015,Tobacco Raw,Export,Value (RM Million),120.618681
2015,Tobacco Products,Import,Quantity ('000 T),16.26843608
2015,Tobacco Products,Import,Value (RM Million),926.349558
2015,Tobacco Products,Export,Quantity ('000 T),38.22261461
2015,Tobacco Products,Export,Value (RM Million),1352.95146
2015,Total,Import,Quantity ('000 T),70.60120857999999
2015,Total,Import,Value (RM Million),1925.2826300000002
2015,Total,Export,Quantity ('000 T),45.48790051
2015,Total,Export,Value (RM Million),1473.570141
