year,country,trade_type,product_group,rank,volume_tonnes,value_rm,origin_country,destination_country,origin_lat,origin_lon,destination_lat,destination_lon,is_summary_row
2010,Singapore,Export,Tobacco Products,1,7163.36301,207834974.0,Malaysia,Singapore,4.2105,101.9758,1.3521,103.8198,False
2011,Singapore,Export,Tobacco Products,1,7302.1034,213643781.0,Malaysia,Singapore,4.2105,101.9758,1.3521,103.8198,False
2012,Singapore,Export,Tobacco Products,1,8211.873710000002,242515984.0,Malaysia,Singapore,4.2105,101.9758,1.3521,103.8198,False
2013,Singapore,Export,Tobacco Products,1,5586.228909999999,182775773.0,Malaysia,Singapore,4.2105,101.9758,1.3521,103.8198,False
2014,Singapore,Export,Tobacco Products,1,5579.56967,193351617.0,Malaysia,Singapore,4.2105,101.9758,1.3521,103.8198,False
2015,Singapore,Export,Tobacco Products,1,6793.37965,254906937.0,Malaysia,Singapore,4.2105,101.9758,1.3521,103.8198,False
2016,Singapore,Export,Tobacco Products,1,5992.571879999999,240555346.0,Malaysia,Singapore,4.2105,101.9758,1.3521,103.8198,False
2017,Singapore,Export,Tobacco Products,1,4261.449459999999,222501789.0,Malaysia,Singapore,4.2105,101.9758,1.3521,103.8198,False
2018,Singapore,Export,Tobacco Products,1,1946.017020000001,151145795.0,Malaysia,Singapore,4.2105,101.9758,1.3521,103.8198,False
2019,Singapore,Export,Tobacco Products,1,1936.6883399999997,149898929.0,Malaysia,Singapore,4.2105,101.9758,1.3521,103.8198,False
2020,Singapore,Export,Tobacco Products,1,933.2985399999998,115333980.0,Malaysia,Singapore,4.2105,101.9758,1.3521,103.8198,False
2010,Thailand,Export,Tobacco Products,2,2102.120929999999,108366502.0,Malaysia,Thailand,4.2105,101.9758,15.87,100.9925,False
2011,Thailand,Export,Tobacco Products,2,1626.2511399999996,102190387.0,Malaysia,Thailand,4.2105,101.9758,15.87,100.9925,False
2012,Thailand,Export,Tobacco Products,2,2324.3864399999998,128437186.0,Malaysia,Thailand,4.2105,101.9758,15.87,100.9925,False
2013,Thailand,Export,Tobacco Products,2,2795.202,140620294.0,Malaysia,Thailand,4.2105,101.9758,15.87,100.9925,False
2014,Thailand,Export,Tobacco Products,2,3266.70627,161834578.0,Malaysia,Thailand,4.2105,101.9758,15.87,100.9925,False
2015,Thailand,Export,Tobacco Products,2,3508.81081,162601061.0,Malaysia,Thailand,4.2105,101.9758,15.87,100.9925,False
2016,Thailand,Export,Tobacco Products,2,3731.32966,177984343.0,Malaysia,Thailand,4.2105,101.9758,15.87,100.9925,False
2017,Thailand,Export,Tobacco Products,2,1317.38632,72782714.0,Malaysia,Thailand,4.2105,101.9758,15.87,100.9925,False
2018,Thailand,Export,Tobacco Products,2,1612.4139199999995,79321880.0,Malaysia,Thailand,4.2105,101.9758,15.87,100.9925,False
2019,Thailand,Export,Tobacco Products,2,1196.1699600000002,72587889.0,Malaysia,Thailand,4.2105,101.9758,15.87,100.9925,False
2020,Thailand,Export,Tobacco Products,2,844.4175600000001,47710593.0,Malaysia,Thailand,4.2105,101.9758,15.87,100.9925,False
2010,Netherlands,Export,Tobacco Products,3,1094.5666299999998,7632486.0,Malaysia,Netherlands,4.2105,101.9758,52.1326,5.2913,False
2011,Netherlands,Export,Tobacco Products,3,2.23223,81692.0,Malaysia,Netherlands,4.2105,101.9758,52.1326,5.2913,False
2012,Netherlands,Export,Tobacco Products,3,0.31707,30144.0,Malaysia,Netherlands,4.2105,101.9758,52.1326,5.2913,False
2013,Netherlands,Export,Tobacco Products,3,58.87618,568290.0,Malaysia,Netherlands,4.2105,101.9758,52.1326,5.2913,False
2014,Netherlands,Export,Tobacco Products,3,717.5946,6295396.0,Malaysia,Netherlands,4.2105,101.9758,52.1326,5.2913,False
2015,Netherlands,Export,Tobacco Products,3,854.37673,6111733.0,Malaysia,Netherlands,4.2105,101.9758,52.1326,5.2913,False
2016,Netherlands,Export,Tobacco Products,3,886.83245,7248117.0,Malaysia,Netherlands,4.2105,101.9758,52.1326,5.2913,False
2017,Netherlands,Export,Tobacco Products,3,1028.11466,8211394.0,Malaysia,Netherlands,4.2105,101.9758,52.1326,5.2913,False
2018,Netherlands,Export,Tobacco Products,3,10.616459999999998,1192067.0,Malaysia,Netherlands,4.2105,101.9758,52.1326,5.2913,False
2019,Netherlands,Export,Tobacco Products,3,1.1431999999999998,121576.0,Malaysia,Netherlands,4.2105,101.9758,52.1326,5.2913,False
2020,Netherlands,Export,Tobacco Products,3,3311.57799,40476624.0,Malaysia,Netherlands,4.2105,101.9758,52.1326,5.2913,False
2010,Philippines,Export,Tobacco Products,4,2144.3330899999996,17638334.0,Malaysia,Philippines,4.2105,101.9758,12.8797,121.774,False
2011,Philippines,Export,Tobacco Products,4,4819.29287,40989619.0,Malaysia,Philippines,4.2105,101.9758,12.8797,121.774,False
2012,Philippines,Export,Tobacco Products,4,6858.64069,85414611.0,Malaysia,Philippines,4.2105,101.9758,12.8797,121.774,False
2013,Philippines,Export,Tobacco Products,4,8611.04925,140401765.0,Malaysia,Philippines,4.2105,101.9758,12.8797,121.774,False
2014,Philippines,Export,Tobacco Products,4,5675.183109999999,80736662.0,Malaysia,Philippines,4.2105,101.9758,12.8797,121.774,False
2015,Philippines,Export,Tobacco Products,4,4157.00806,65885659.0,Malaysia,Philippines,4.2105,101.9758,12.8797,121.774,False
2016,Philippines,Export,Tobacco Products,4,6908.621390000001,168275027.0,Malaysia,Philippines,4.2105,101.9758,12.8797,121.774,False
2017,Philippines,Export,Tobacco Products,4,5413.213090000001,164481668.0,Malaysia,Philippines,4.2105,101.9758,12.8797,121.774,False
2018,Philippines,Export,Tobacco Products,4,2810.0939199999993,28340334.0,Malaysia,Philippines,4.2105,101.9758,12.8797,121.774,False
2019,Philippines,Export,Tobacco Products,4,4680.315599999999,49628174.0,Malaysia,Philippines,4.2105,101.9758,12.8797,121.774,False
2020,Philippines,Export,Tobacco Products,4,3275.35574,37549824.0,Malaysia,Philippines,4.2105,101.9758,12.8797,121.774,False
2010,United Arab Emirates,Export,Tobacco Products,5,632.0444,16679033.0,Malaysia,United Arab Emirates,4.2105,101.9758,23.4241,53.8478,False
2011,United Arab Emirates,Export,Tobacco Products,5,595.74825,16467525.0,Malaysia,United Arab Emirates,4.2105,101.9758,23.4241,53.8478,False
