population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,322,Lower respiratory infections,100,Secondhand smoke,1,Number,1990,1017.8141695609028,1527.1927206046557,686.7127681289649
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,322,Lower respiratory infections,100,Secondhand smoke,2,Percent,1990,0.12167141793316608,0.16106780567357687,0.08558713645845928
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,322,Lower respiratory infections,100,Secondhand smoke,3,Rate,1990,5.749318345385606,8.626640685597483,3.879028641856754
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,494,Stroke,100,Secondhand smoke,1,Number,1990,657.5109366412536,930.3160361386272,396.80160612211625
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,494,Stroke,100,Secondhand smoke,2,Percent,1990,0.05766912140086751,0.0765334834669785,0.03898347188730456
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,494,Stroke,100,Secondhand smoke,3,Rate,1990,3.714076501758737,5.255068374500734,2.241409897585286
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,329,Otitis media,100,Secondhand smoke,1,Number,1990,0.014997620979203185,0.0518029654290101,0.001888094566281863
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,329,Otitis media,100,Secondhand smoke,2,Percent,1990,0.010773340592366532,0.02620350146044581,0.004391417063197253
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,329,Otitis media,100,Secondhand smoke,3,Rate,1990,8.471693557780973e-05,0.000292618975441138,1.0665263908076933e-05
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,322,Lower respiratory infections,100,Secondhand smoke,1,Number,1991,1027.4104560899732,1550.5187442102078,695.1451887691302
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,322,Lower respiratory infections,100,Secondhand smoke,2,Percent,1991,0.12086930692647038,0.15959213153007318,0.08414154583729587
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,322,Lower respiratory infections,100,Secondhand smoke,3,Rate,1991,5.635428850069211,8.504719814658076,3.8129271787684638
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,429,Breast cancer,100,Secondhand smoke,1,Number,1990,76.39470183699729,118.61011257818318,41.92975920997149
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,429,Breast cancer,100,Secondhand smoke,2,Percent,1990,0.10196462205971456,0.1395460867837971,0.06336495451897944
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,429,Breast cancer,100,Secondhand smoke,3,Rate,1990,0.4315301102078342,0.6699919460624055,0.2368482784509569
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",100,Secondhand smoke,1,Number,1990,194.76181723601863,261.1148574353375,137.99090925314835
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",100,Secondhand smoke,2,Percent,1990,0.11144790399721556,0.1363227787258622,0.08630853530880983
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",100,Secondhand smoke,3,Rate,1990,1.1001494401465781,1.4749573006567422,0.7794680893544924
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,329,Otitis media,100,Secondhand smoke,1,Number,1991,0.013415717832026873,0.045120039676362286,0.00189537596632752
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,329,Otitis media,100,Secondhand smoke,2,Percent,1991,0.010447970134834932,0.02407661101282611,0.004584343533804037
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,329,Otitis media,100,Secondhand smoke,3,Rate,1991,7.35862895562856e-05,0.00024748704064792216,1.039628936911902e-05
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,429,Breast cancer,100,Secondhand smoke,1,Number,1992,85.66238722396452,130.0748642473896,48.407515566160114
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,429,Breast cancer,100,Secondhand smoke,2,Percent,1992,0.10138442495580434,0.1379887051438781,0.06322313449543411
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,429,Breast cancer,100,Secondhand smoke,3,Rate,1992,0.45561726243021816,0.6918363529191771,0.2574677222762706
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,429,Breast cancer,100,Secondhand smoke,1,Number,1991,81.68040186530494,123.36309398443107,45.60572570195666
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,429,Breast cancer,100,Secondhand smoke,2,Percent,1991,0.10163175535824263,0.13861984355882317,0.06323970976573545
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,429,Breast cancer,100,Secondhand smoke,3,Rate,1991,0.4480235629572726,0.6766564762435914,0.25015106749764526
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,494,Stroke,100,Secondhand smoke,1,Number,1992,678.6575284025015,964.0299393400919,409.81109128195027
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,494,Stroke,100,Secondhand smoke,2,Percent,1992,0.05745110253583676,0.07699940799624663,0.038206385358558026
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,494,Stroke,100,Secondhand smoke,3,Rate,1992,3.6096132181091365,5.127439195857776,2.1796848485584515
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,493,Ischemic heart disease,100,Secondhand smoke,1,Number,1992,1345.3876320690458,1813.622061300526,972.4952192158205
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,493,Ischemic heart disease,100,Secondhand smoke,2,Percent,1992,0.08585553456662454,0.10824463118858282,0.06619228240856377
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,493,Ischemic heart disease,100,Secondhand smoke,3,Rate,1992,7.155787384586067,9.646211662212798,5.1724639467160625
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",100,Secondhand smoke,1,Number,1991,207.02121675832885,275.6385158162161,146.8435670444325
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",100,Secondhand smoke,2,Percent,1991,0.11146477108534888,0.13590698101373846,0.08619936186637187
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",100,Secondhand smoke,3,Rate,1991,1.1355279971903949,1.511899392315443,0.8054487563992615
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,493,Ischemic heart disease,100,Secondhand smoke,1,Number,1991,1333.6216883078162,1776.4839713365336,951.4660800345328
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,493,Ischemic heart disease,100,Secondhand smoke,2,Percent,1991,0.08606833552877448,0.10884668620594479,0.06644349654395675
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,493,Ischemic heart disease,100,Secondhand smoke,3,Rate,1991,7.315022046758024,9.744157229872217,5.2188678492671565
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,515,Asthma,100,Secondhand smoke,1,Number,1990,45.61087512912484,77.57298084848921,24.192841164300308
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,515,Asthma,100,Secondhand smoke,2,Percent,1990,0.06929882101779306,0.09310921541424647,0.05181735377503777
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,515,Asthma,100,Secondhand smoke,3,Rate,1990,0.25764176700556196,0.43818584495721014,0.1366578985561951
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,493,Ischemic heart disease,100,Secondhand smoke,1,Number,1990,1310.6210104046502,1746.1077242236352,935.6885355234041
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,493,Ischemic heart disease,100,Secondhand smoke,2,Percent,1990,0.08629624374891019,0.10931162662176588,0.06706228659582136
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,493,Ischemic heart disease,100,Secondhand smoke,3,Rate,1990,7.403293886366341,9.863224026670183,5.285415966622383
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,100,Secondhand smoke,1,Number,1990,280.0980867851114,490.4518956781567,133.01947684244035
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,100,Secondhand smoke,2,Percent,1990,0.12231494211800033,0.18381051852898717,0.0626907948417707
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,509,Chronic obstructive pulmonary disease,100,Secondhand smoke,3,Rate,1990,1.5821877087403726,2.7704115011171964,0.7513860008784998
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,515,Asthma,100,Secondhand smoke,1,Number,1992,48.36326414071779,78.29558006666474,26.022976448509777
1,All Population,1,Deaths,13,Malaysia,3,Both,22,All ages,515,Asthma,100,Secondhand smoke,2,Percent,1992,0.06946986675345934,0.09119871757631232,0.05203312786215999
