Entity,Code,Year,"Number of daily smokers - both (IHME, GHDx (2012))"
Brunei,BRN,1980,13758
Brunei,BRN,1981,14278
Brunei,BRN,1982,14746
Brunei,BRN,1983,15216
Brunei,BRN,1984,15741
Brunei,BRN,1985,16376
Brunei,BRN,1986,17137
Brunei,BRN,1987,17993
Brunei,BRN,1988,18895
Brunei,BRN,1989,19793
Brunei,BRN,1990,20634
Brunei,BRN,1991,21400
Brunei,BRN,1992,22099
Brunei,BRN,1993,22759
Brunei,BRN,1994,23420
Brunei,BRN,1995,24098
Brunei,BRN,1996,24789
Brunei,BRN,1997,25546
Brunei,BRN,1998,26369
Brunei,BRN,1999,27161
Brunei,BRN,2000,27881
Brunei,BRN,2001,28528
Brunei,BRN,2002,29119
Brunei,BRN,2003,29652
Brunei,BRN,2004,30173
Brunei,BRN,2005,30733
Brunei,BRN,2006,31296
Brunei,BRN,2007,31895
Brunei,BRN,2008,32549
Brunei,BRN,2009,33233
Brunei,BRN,2010,33902
Brunei,BRN,2011,34587
Brunei,BRN,2012,35269
Cambodia,KHM,1980,894850
Cambodia,KHM,1981,900286
Cambodia,KHM,1982,918592
Cambodia,KHM,1983,946086
Cambodia,KHM,1984,976661
Cambodia,KHM,1985,1005948
Cambodia,KHM,1986,1032504
Cambodia,KHM,1987,1059277
Cambodia,KHM,1988,1087273
Cambodia,KHM,1989,1118170
Cambodia,KHM,1990,1153670
Cambodia,KHM,1991,1194552
Cambodia,KHM,1992,1239872
Cambodia,KHM,1993,1288607
Cambodia,KHM,1994,1335853
Cambodia,KHM,1995,1381898
Cambodia,KHM,1996,1425804
Cambodia,KHM,1997,1460788
Cambodia,KHM,1998,1495621
Cambodia,KHM,1999,1532030
Cambodia,KHM,2000,1570681
Cambodia,KHM,2001,1608745
Cambodia,KHM,2002,1647017
Cambodia,KHM,2003,1684589
Cambodia,KHM,2004,1719099
Cambodia,KHM,2005,1747146
Cambodia,KHM,2006,1777741
Cambodia,KHM,2007,1806321
Cambodia,KHM,2008,1832620
Cambodia,KHM,2009,1858134
Cambodia,KHM,2010,1888190
Cambodia,KHM,2011,1930612
Cambodia,KHM,2012,1992481
Indonesia,IDN,1980,23578866
Indonesia,IDN,1981,24387207
Indonesia,IDN,1982,25223551
Indonesia,IDN,1983,26098739
Indonesia,IDN,1984,27013293
Indonesia,IDN,1985,27962315
Indonesia,IDN,1986,28941398
Indonesia,IDN,1987,29937326
Indonesia,IDN,1988,30938905
Indonesia,IDN,1989,31939855
Indonesia,IDN,1990,32913046
Indonesia,IDN,1991,33818669
Indonesia,IDN,1992,34631198
Indonesia,IDN,1993,35354728
Indonesia,IDN,1994,35351136
Indonesia,IDN,1995,35483642
Indonesia,IDN,1996,36287703
Indonesia,IDN,1997,37255375
Indonesia,IDN,1998,38283752
Indonesia,IDN,1999,39357906
Indonesia,IDN,2000,40437450
Indonesia,IDN,2001,41465286
Indonesia,IDN,2002,42422017
Indonesia,IDN,2003,43310582
Indonesia,IDN,2004,44133173
Indonesia,IDN,2005,44830844
Indonesia,IDN,2006,45525517
Indonesia,IDN,2007,46344889
Indonesia,IDN,2008,47372684
Indonesia,IDN,2009,48552921
Indonesia,IDN,2010,49908122
Indonesia,IDN,2011,51336886
Indonesia,IDN,2012,52712875
Laos,LAO,1980,616080
Laos,LAO,1981,625189
Laos,LAO,1982,638079
Laos,LAO,1983,654267
Laos,LAO,1984,672381
Laos,LAO,1985,691086
Laos,LAO,1986,711184
Laos,LAO,1987,733687
Laos,LAO,1988,758124
Laos,LAO,1989,781874
Laos,LAO,1990,805244
Laos,LAO,1991,828421
Laos,LAO,1992,851231
Laos,LAO,1993,874276
Laos,LAO,1994,896127
Laos,LAO,1995,917511
Laos,LAO,1996,938509
Laos,LAO,1997,951836
Laos,LAO,1998,963155
Laos,LAO,1999,973346
Laos,LAO,2000,982828
Laos,LAO,2001,991708
Laos,LAO,2002,999595
Laos,LAO,2003,1007382
Laos,LAO,2004,1007731
Laos,LAO,2005,1012234
Laos,LAO,2006,1022580
Laos,LAO,2007,1038220
Laos,LAO,2008,1058608
Laos,LAO,2009,1082659
Laos,LAO,2010,1109177
Laos,LAO,2011,1137351
Laos,LAO,2012,1169048
Malaysia,MYS,1980,1994018
Malaysia,MYS,1981,2034453
Malaysia,MYS,1982,2076147
Malaysia,MYS,1983,2121046
Malaysia,MYS,1984,2170886
Malaysia,MYS,1985,2234727
Malaysia,MYS,1986,2310905
Malaysia,MYS,1987,2394241
Malaysia,MYS,1988,2477850
Malaysia,MYS,1989,2557961
Malaysia,MYS,1990,2633744
Malaysia,MYS,1991,2703055
Malaysia,MYS,1992,2767768
Malaysia,MYS,1993,2830990
Malaysia,MYS,1994,2893398
Malaysia,MYS,1995,2958926
Malaysia,MYS,1996,3029254
Malaysia,MYS,1997,3087480
Malaysia,MYS,1998,3162243
Malaysia,MYS,1999,3236036
Malaysia,MYS,2000,3302524
Malaysia,MYS,2001,3367933
Malaysia,MYS,2002,3424980
Malaysia,MYS,2003,3473537
Malaysia,MYS,2004,3491809
Malaysia,MYS,2005,3512893
Malaysia,MYS,2006,3558685
Malaysia,MYS,2007,3613131
Malaysia,MYS,2008,3677770
Malaysia,MYS,2009,3760559
Malaysia,MYS,2010,3864928
Malaysia,MYS,2011,3977655
Malaysia,MYS,2012,4085928
Myanmar,MMR,1980,4369829
Myanmar,MMR,1981,4481313
Myanmar,MMR,1982,4592475
Myanmar,MMR,1983,4704617
Myanmar,MMR,1984,4815130
Myanmar,MMR,1985,4928140
Myanmar,MMR,1986,5049231
Myanmar,MMR,1987,5185568
Myanmar,MMR,1988,5349214
Myanmar,MMR,1989,5507901
Myanmar,MMR,1990,5664430
Myanmar,MMR,1991,5824858
Myanmar,MMR,1992,5963636
Myanmar,MMR,1993,6091250
Myanmar,MMR,1994,6200023
Myanmar,MMR,1995,6298785
Myanmar,MMR,1996,6390991
Myanmar,MMR,1997,6480495
Myanmar,MMR,1998,6566871
Myanmar,MMR,1999,6630130
Myanmar,MMR,2000,6665222
Myanmar,MMR,2001,6684352
Myanmar,MMR,2002,6741312
Myanmar,MMR,2003,6783632
Myanmar,MMR,2004,6759373
Myanmar,MMR,2005,6725380
Myanmar,MMR,2006,6690212
Myanmar,MMR,2007,6661789
Myanmar,MMR,2008,6662316
Myanmar,MMR,2009,6687057
Myanmar,MMR,2010,6734754
Myanmar,MMR,2011,6802243
Myanmar,MMR,2012,6886003
Philippines,PHL,1980,7414352
Philippines,PHL,1981,7665651
Philippines,PHL,1982,7927534
Philippines,PHL,1983,8200057
Philippines,PHL,1984,8490938
Philippines,PHL,1985,8800564
Philippines,PHL,1986,9113949
Philippines,PHL,1987,9436048
Philippines,PHL,1988,9761822
Philippines,PHL,1989,10088947
Philippines,PHL,1990,10415186
Philippines,PHL,1991,10743367
Philippines,PHL,1992,11071790
Philippines,PHL,1993,11402845
Philippines,PHL,1994,11720397
Philippines,PHL,1995,12036171
Philippines,PHL,1996,12345746
Philippines,PHL,1997,12521512
Philippines,PHL,1998,12700326
Philippines,PHL,1999,12706101
Philippines,PHL,2000,12713937
Philippines,PHL,2001,12743607
Philippines,PHL,2002,12696447
Philippines,PHL,2003,12651725
Philippines,PHL,2004,12682121
Philippines,PHL,2005,12731088
Philippines,PHL,2006,12801978
Philippines,PHL,2007,12897713
Philippines,PHL,2008,13034534
Philippines,PHL,2009,13237595
Philippines,PHL,2010,13592295
Philippines,PHL,2011,13999472
Philippines,PHL,2012,14470787
Singapore,SGP,1980,306001
Singapore,SGP,1981,310001
Singapore,SGP,1982,313317
Singapore,SGP,1983,316176
Singapore,SGP,1984,318636
Singapore,SGP,1985,321563
Singapore,SGP,1986,325564
Singapore,SGP,1987,329149
Singapore,SGP,1988,322394
Singapore,SGP,1989,326062
Singapore,SGP,1990,335721
Singapore,SGP,1991,340206
Singapore,SGP,1992,344468
Singapore,SGP,1993,347795
Singapore,SGP,1994,350358
Singapore,SGP,1995,352461
Singapore,SGP,1996,354775
Singapore,SGP,1997,356155
Singapore,SGP,1998,358465
Singapore,SGP,1999,358544
Singapore,SGP,2000,358342
Singapore,SGP,2001,361075
Singapore,SGP,2002,364384
Singapore,SGP,2003,368920
Singapore,SGP,2004,373250
Singapore,SGP,2005,381135
Singapore,SGP,2006,390141
Singapore,SGP,2007,389606
Singapore,SGP,2008,397983
Singapore,SGP,2009,411305
Singapore,SGP,2010,416365
Singapore,SGP,2011,419092
Singapore,SGP,2012,422659
Thailand,THA,1980,7217641
Thailand,THA,1981,7444219
Thailand,THA,1982,7677453
Thailand,THA,1983,7919565
Thailand,THA,1984,8174321
Thailand,THA,1985,8445905
Thailand,THA,1986,8734347
Thailand,THA,1987,9037179
Thailand,THA,1988,9342881
Thailand,THA,1989,9615813
Thailand,THA,1990,9860394
Thailand,THA,1991,10076990
Thailand,THA,1992,10268617
Thailand,THA,1993,10443847
Thailand,THA,1994,10598647
Thailand,THA,1995,10755519
Thailand,THA,1996,10907236
Thailand,THA,1997,10826059
Thailand,THA,1998,10752212
Thailand,THA,1999,10677515
Thailand,THA,2000,10566834
Thailand,THA,2001,10446435
Thailand,THA,2002,10246600
Thailand,THA,2003,10061158
Thailand,THA,2004,9993371
Thailand,THA,2005,9967910
Thailand,THA,2006,9995370
Thailand,THA,2007,10060559
Thailand,THA,2008,10185335
Thailand,THA,2009,10320763
Thailand,THA,2010,10462808
Thailand,THA,2011,10593538
Thailand,THA,2012,10739255
Vietnam,VNM,1980,8678587
Vietnam,VNM,1981,9002559
Vietnam,VNM,1982,9353216
Vietnam,VNM,1983,9727920
Vietnam,VNM,1984,10124467
Vietnam,VNM,1985,10533429
Vietnam,VNM,1986,10959613
Vietnam,VNM,1987,11404278
Vietnam,VNM,1988,11869213
Vietnam,VNM,1989,12350011
Vietnam,VNM,1990,12839422
Vietnam,VNM,1991,13328212
Vietnam,VNM,1992,13817655
Vietnam,VNM,1993,14297001
Vietnam,VNM,1994,14446937
Vietnam,VNM,1995,14539126
Vietnam,VNM,1996,14590543
Vietnam,VNM,1997,14442160
Vietnam,VNM,1998,14378346
Vietnam,VNM,1999,14248455
Vietnam,VNM,2000,14126647
Vietnam,VNM,2001,14002280
Vietnam,VNM,2002,13844907
Vietnam,VNM,2003,13459244
Vietnam,VNM,2004,13296300
Vietnam,VNM,2005,13189657
Vietnam,VNM,2006,13175898
Vietnam,VNM,2007,13219662
Vietnam,VNM,2008,13330130
Vietnam,VNM,2009,13515037
Vietnam,VNM,2010,13748889
Vietnam,VNM,2011,14091375
Vietnam,VNM,2012,14464714
