dataset_type,category,question,smoking_status,response,count,percentage
Overall Population,Quit Smoking Aid,Family members should encourage smokers to switch to E-cig instead as it is safer.,Ever Smoker,Do Not Agree,306,56.6
Overall Population,Quit Smoking Aid,Family members should encourage smokers to switch to E-cig instead as it is safer.,Non-Smoker,Do Not Agree,227,62.4
Overall Population,Quit Smoking Aid,Family members should encourage smokers to switch to E-cig instead as it is safer.,Ever Smoker,Not Sure,144,26.7
Overall Population,Quit Smoking Aid,Family members should encourage smokers to switch to E-cig instead as it is safer.,Non-Smoker,Not Sure,78,21.4
Overall Population,Quit Smoking Aid,Family members should encourage smokers to switch to E-cig instead as it is safer.,Ever Smoker,Agree,90,16.7
Overall Population,Quit Smoking Aid,Family members should encourage smokers to switch to E-cig instead as it is safer.,Non-Smoker,Agree,59,16.2
Overall Population,Quit Smoking Aid,Smokers are encouraged to use E-cig to aid in quitting smoking.,Ever Smoker,Do Not Agree,265,49
Overall Population,Quit Smoking Aid,Smokers are encouraged to use E-cig to aid in quitting smoking.,Non-Smoker,Do Not Agree,212,58.3
Overall Population,Quit Smoking Aid,Smokers are encouraged to use E-cig to aid in quitting smoking.,Ever Smoker,Not Sure,184,34.1
Overall Population,Quit Smoking Aid,Smokers are encouraged to use E-cig to aid in quitting smoking.,Non-Smoker,Not Sure,94,25.8
Overall Population,Quit Smoking Aid,Smokers are encouraged to use E-cig to aid in quitting smoking.,Ever Smoker,Agree,91,16.9
Overall Population,Quit Smoking Aid,Smokers are encouraged to use E-cig to aid in quitting smoking.,Non-Smoker,Agree,58,15.9
Overall Population,Quit Smoking Aid,E- Cigarette is the main choice for effective quit smoking method.,Ever Smoker,Do Not Agree,251,46.4
Overall Population,Quit Smoking Aid,E- Cigarette is the main choice for effective quit smoking method.,Non-Smoker,Do Not Agree,184,50.6
Overall Population,Quit Smoking Aid,E- Cigarette is the main choice for effective quit smoking method.,Ever Smoker,Not Sure,218,40.4
Overall Population,Quit Smoking Aid,E- Cigarette is the main choice for effective quit smoking method.,Non-Smoker,Not Sure,126,34.6
Overall Population,Quit Smoking Aid,E- Cigarette is the main choice for effective quit smoking method.,Ever Smoker,Agree,71,13.2
Overall Population,Quit Smoking Aid,E- Cigarette is the main choice for effective quit smoking method.,Non-Smoker,Agree,54,14.8
Overall Population,Quit Smoking Aid,E-cig is more effective than normal medication therapy to quit smoking.,Ever Smoker,Do Not Agree,225,41.6
Overall Population,Quit Smoking Aid,E-cig is more effective than normal medication therapy to quit smoking.,Non-Smoker,Do Not Agree,173,47.5
Overall Population,Quit Smoking Aid,E-cig is more effective than normal medication therapy to quit smoking.,Ever Smoker,Not Sure,238,44.1
Overall Population,Quit Smoking Aid,E-cig is more effective than normal medication therapy to quit smoking.,Non-Smoker,Not Sure,163,44.8
Overall Population,Quit Smoking Aid,E-cig is more effective than normal medication therapy to quit smoking.,Ever Smoker,Agree,77,14.3
Overall Population,Quit Smoking Aid,E-cig is more effective than normal medication therapy to quit smoking.,Non-Smoker,Agree,28,7.7
Overall Population,Regulations,E-cig should be allowed to be used at non-smoking area.,Ever Smoker,Do Not Agree,237,43.9
Overall Population,Regulations,E-cig should be allowed to be used at non-smoking area.,Non-Smoker,Do Not Agree,205,56.3
Overall Population,Regulations,E-cig should be allowed to be used at non-smoking area.,Ever Smoker,Not Sure,223,41.3
Overall Population,Regulations,E-cig should be allowed to be used at non-smoking area.,Non-Smoker,Not Sure,126,34.6
Overall Population,Regulations,E-cig should be allowed to be used at non-smoking area.,Ever Smoker,Agree,80,14.8
Overall Population,Regulations,E-cig should be allowed to be used at non-smoking area.,Non-Smoker,Agree,33,9.1
Overall Population,Regulations,E-cig should be banned in Malaysia,Ever Smoker,Do Not Agree,121,22.5
Overall Population,Regulations,E-cig should be banned in Malaysia,Non-Smoker,Do Not Agree,54,14.9
Overall Population,Regulations,E-cig should be banned in Malaysia,Ever Smoker,Not Sure,213,39.4
Overall Population,Regulations,E-cig should be banned in Malaysia,Non-Smoker,Not Sure,113,31
Overall Population,Regulations,E-cig should be banned in Malaysia,Ever Smoker,Agree,206,38.1
Overall Population,Regulations,E-cig should be banned in Malaysia,Non-Smoker,Agree,197,54.1
Overall Population,Harmfulness,E-cig doesn’t cause any harmful effects to chronic disease patients.,Ever Smoker,Do Not Agree,191,35.4
Overall Population,Harmfulness,E-cig doesn’t cause any harmful effects to chronic disease patients.,Non-Smoker,Do Not Agree,156,42.9
Overall Population,Harmfulness,E-cig doesn’t cause any harmful effects to chronic disease patients.,Ever Smoker,Not Sure,310,57.4
Overall Population,Harmfulness,E-cig doesn’t cause any harmful effects to chronic disease patients.,Non-Smoker,Not Sure,181,49.7
Overall Population,Harmfulness,E-cig doesn’t cause any harmful effects to chronic disease patients.,Ever Smoker,Agree,39,7.2
Overall Population,Harmfulness,E-cig doesn’t cause any harmful effects to chronic disease patients.,Non-Smoker,Agree,27,7.4
Overall Population,Harmfulness,E-cig is not harmful to users.,Ever Smoker,Do Not Agree,265,49.1
Overall Population,Harmfulness,E-cig is not harmful to users.,Non-Smoker,Do Not Agree,197,54.1
Overall Population,Harmfulness,E-cig is not harmful to users.,Ever Smoker,Not Sure,230,42.6
Overall Population,Harmfulness,E-cig is not harmful to users.,Non-Smoker,Not Sure,139,38.2
Overall Population,Harmfulness,E-cig is not harmful to users.,Ever Smoker,Agree,45,8.3
Overall Population,Harmfulness,E-cig is not harmful to users.,Non-Smoker,Agree,28,7.7
