country,year,consumption
Malaysia,1980,24.3
Malaysia,1981,23.6
Malaysia,1982,23
Malaysia,1983,22.5
Malaysia,1984,21.9
Malaysia,1985,21.4
Malaysia,1986,21.1
Malaysia,1987,20.7
Malaysia,1988,20.3
Malaysia,1989,19.9
Malaysia,1990,19.5
Malaysia,1991,19.1
Malaysia,1992,18.6
Malaysia,1993,18.1
Malaysia,1994,17.6
Malaysia,1995,17.1
Malaysia,1996,16.6
Malaysia,1997,16.2
Malaysia,1998,16.1
Malaysia,1999,16
Malaysia,2000,15.8
Malaysia,2001,15.8
Malaysia,2002,15.9
Malaysia,2003,15.9
Malaysia,2004,16.1
Malaysia,2005,16.3
Malaysia,2006,16.3
Malaysia,2007,16.2
Malaysia,2008,16.1
Malaysia,2009,16
Malaysia,2010,15.7
Malaysia,2011,15.4
Malaysia,2012,15.2
Indonesia,1980,8.9
Indonesia,1981,9
Indonesia,1982,9.1
Indonesia,1983,9.2
Indonesia,1984,9.3
Indonesia,1985,9.3
Indonesia,1986,9.4
Indonesia,1987,9.4
Indonesia,1988,9.4
Indonesia,1989,9.5
Indonesia,1990,9.6
Indonesia,1991,9.8
Indonesia,1992,9.9
Indonesia,1993,10.1
Indonesia,1994,10.6
Indonesia,1995,11
Indonesia,1996,11.2
Indonesia,1997,11.3
Indonesia,1998,11.2
Indonesia,1999,11.1
Indonesia,2000,11
Indonesia,2001,10.9
Indonesia,2002,10.8
Indonesia,2003,10.8
Indonesia,2004,10.8
Indonesia,2005,10.8
Indonesia,2006,10.8
Indonesia,2007,10.9
Indonesia,2008,10.9
Indonesia,2009,10.9
Indonesia,2010,10.9
Indonesia,2011,10.9
Indonesia,2012,11
Thailand,1980,17.4
Thailand,1981,17.1
Thailand,1982,16.8
Thailand,1983,16.5
Thailand,1984,16.1
Thailand,1985,15.8
Thailand,1986,15.4
Thailand,1987,15
Thailand,1988,14.6
Thailand,1989,14.2
Thailand,1990,13.8
Thailand,1991,13.4
Thailand,1992,13
Thailand,1993,12.7
Thailand,1994,12.4
Thailand,1995,12.1
Thailand,1996,11.9
Thailand,1997,12
Thailand,1998,12.1
Thailand,1999,12.3
Thailand,2000,12.5
Thailand,2001,12.7
Thailand,2002,13
Thailand,2003,13.3
Thailand,2004,13.4
Thailand,2005,13.5
Thailand,2006,13.5
Thailand,2007,13.4
Thailand,2008,13.2
Thailand,2009,13
Thailand,2010,12.8
Thailand,2011,12.7
Thailand,2012,12.5
Vietnam,1980,5.7
Vietnam,1981,5.8
Vietnam,1982,5.9
Vietnam,1983,6.1
Vietnam,1984,6.2
Vietnam,1985,6.3
Vietnam,1986,6.3
Vietnam,1987,6.3
Vietnam,1988,6.3
Vietnam,1989,6.3
Vietnam,1990,6.3
Vietnam,1991,6.4
Vietnam,1992,6.5
Vietnam,1993,6.7
Vietnam,1994,7
Vietnam,1995,7.5
Vietnam,1996,8.1
Vietnam,1997,8.9
Vietnam,1998,9.7
Vietnam,1999,10.5
Vietnam,2000,11.2
Vietnam,2001,12
Vietnam,2002,12.7
Vietnam,2003,13.6
Vietnam,2004,14.2
Vietnam,2005,14.6
Vietnam,2006,14.9
Vietnam,2007,15
Vietnam,2008,15
Vietnam,2009,14.8
Vietnam,2010,14.6
Vietnam,2011,14.2
Vietnam,2012,13.9
Philippines,1980,18.5
Philippines,1981,18.4
Philippines,1982,18.2
Philippines,1983,18.1
Philippines,1984,18
Philippines,1985,18
Philippines,1986,17.9
Philippines,1987,17.8
Philippines,1988,17.7
Philippines,1989,17.5
Philippines,1990,17.3
Philippines,1991,17.1
Philippines,1992,16.9
Philippines,1993,16.8
Philippines,1994,16.6
Philippines,1995,16.5
Philippines,1996,16.4
Philippines,1997,16.4
Philippines,1998,16.6
Philippines,1999,17
Philippines,2000,17.4
Philippines,2001,17.9
Philippines,2002,18.4
Philippines,2003,19
Philippines,2004,19.5
Philippines,2005,20
Philippines,2006,20.4
Philippines,2007,20.8
Philippines,2008,21.2
Philippines,2009,21.5
Philippines,2010,21.6
Philippines,2011,21.5
Philippines,2012,21.4
Singapore,1980,28.7
Singapore,1981,27.8
Singapore,1982,27.2
Singapore,1983,26.6
Singapore,1984,26
Singapore,1985,25.5
Singapore,1986,25.2
Singapore,1987,24.8
Singapore,1988,24.6
Singapore,1989,24.2
Singapore,1990,23.8
Singapore,1991,23.5
Singapore,1992,23.2
Singapore,1993,22.9
Singapore,1994,22.6
Singapore,1995,22.3
Singapore,1996,22.1
Singapore,1997,21.9
Singapore,1998,21.9
Singapore,1999,22.1
Singapore,2000,22.1
Singapore,2001,22.2
Singapore,2002,22.2
Singapore,2003,22.1
Singapore,2004,21.9
Singapore,2005,21.4
Singapore,2006,20.9
Singapore,2007,20.3
Singapore,2008,19.8
Singapore,2009,19.4
Singapore,2010,18.9
Singapore,2011,18.5
Singapore,2012,18.1
Myanmar,1980,27.6
Myanmar,1981,27.6
Myanmar,1982,27.5
Myanmar,1983,27.3
Myanmar,1984,27.2
Myanmar,1985,27
Myanmar,1986,26.9
Myanmar,1987,26.9
Myanmar,1988,27.2
Myanmar,1989,27.4
Myanmar,1990,27.5
Myanmar,1991,27.6
Myanmar,1992,27.6
Myanmar,1993,27.4
Myanmar,1994,27
Myanmar,1995,26.5
Myanmar,1996,25.9
Myanmar,1997,25.1
