category,subgroup,smoking_status,count,percentage
Gender,Male,Ever Smoker,529.0,98.0
Gender,Male,Non-Smoker,123.0,33.8
Gender,Male,Total,652.0,72.1
Gender,Female,Ever Smoker,11.0,2.0
Gender,Female,Non-Smoker,241.0,66.2
Gender,Female,Total,252.0,27.9
Ethnicity,Malay,Ever Smoker,389.0,72.0
Ethnicity,Malay,Non-Smoker,234.0,64.3
Ethnicity,Malay,Total,623.0,68.9
Ethnicity,Chinese,Ever Smoker,21.0,3.9
Ethnicity,Chinese,Non-Smoker,30.0,8.2
Ethnicity,Chinese,Total,51.0,5.6
Ethnicity,Indian,Ever Smoker,17.0,3.1
Ethnicity,Indian,Non-Smoker,16.0,4.4
Ethnicity,Indian,Total,33.0,3.7
Ethnicity,Sabah Bumiputera,Ever Smoker,29.0,54.4
Ethnicity,Sabah Bumiputera,Non-Smoker,19.0,5.2
Ethnicity,Sabah Bumiputera,Total,48.0,5.3
Ethnicity,Sarawak Bumiputera,Ever Smoker,74.0,13.7
Ethnicity,Sarawak Bumiputera,Non-Smoker,60.0,16.5
Ethnicity,Sarawak Bumiputera,Total,134.0,14.8
Ethnicity,Others,Ever Smoker,10.0,1.9
Ethnicity,Others,Non-Smoker,5.0,1.4
Ethnicity,Others,Total,15.0,1.7
Age,<20,Ever Smoker,19.0,3.5
Age,<20,Non-Smoker,25.0,6.9
Age,<20,Total,44.0,4.9
Age,21 – 30,Ever Smoker,188.0,34.8
Age,21 – 30,Non-Smoker,136.0,37.4
Age,21 – 30,Total,324.0,35.8
Age,31 – 40,Ever Smoker,185.0,34.3
Age,31 – 40,Non-Smoker,113.0,31.0
Age,31 – 40,Total,298.0,33.0
Age,41 – 50,Ever Smoker,89.0,16.5
Age,41 – 50,Non-Smoker,57.0,15.6
Age,41 – 50,Total,146.0,16.1
Age,>50,Ever Smoker,59.0,10.9
Age,>50,Non-Smoker,33.0,9.1
Age,>50,Total,92.0,10.2
Education level,Primary school,Ever Smoker,15.0,2.8
Education level,Primary school,Non-Smoker,11.0,3.0
Education level,Primary school,Total,26.0,2.9
Education level,Secondary school,Ever Smoker,324.0,60.0
Education level,Secondary school,Non-Smoker,149.0,41.0
Education level,Secondary school,Total,473.0,52.3
Education level,STPM/Diploma,Ever Smoker,160.0,29.6
Education level,STPM/Diploma,Non-Smoker,142.0,39.0
Education level,STPM/Diploma,Total,302.0,33.4
Education level,Degree and above,Ever Smoker,41.0,7.6
Education level,Degree and above,Non-Smoker,62.0,17.0
Education level,Degree and above,Total,103.0,11.4
Marital status,Single,Ever Smoker,157.0,29.0
Marital status,Single,Non-Smoker,121.0,33.2
Marital status,Single,Total,278.0,30.8
Marital status,Married,Ever Smoker,367.0,68.0
Marital status,Married,Non-Smoker,233.0,64.0
Marital status,Married,Total,600.0,66.3
Marital status,Divorce/widower,Ever Smoker,16.0,3.0
Marital status,Divorce/widower,Non-Smoker,10.0,2.8
Marital status,Divorce/widower,Total,26.0,2.9
E-cig user,Ever use,Ever Smoker,118.0,21.9
E-cig user,Ever use,Non-Smoker,2.0,0.5
E-cig user,Ever use,Total,120.0,13.3
E-cig user,Non-user,Ever Smoker,422.0,78.1
E-cig user,Non-user,Non-Smoker,362.0,99.5
E-cig user,Non-user,Total,784.0,86.7
